strain_name	sub_lineage	n_spdis	n_missing_genes	n_missing_rd	mean_depth	covered_bases_percent	mean_mapq	mean_baseq	gc_content	country	collection_date	host	bioproject	biosample	platform
ERR553346	L4.13.2	861	2	18	183.277	0.99846	59.3	255	0.641833				PRJEB9680	SAMEA2535324	ILLUMINA
ERR553390	L4.13.2	853	2	18	185.317	0.9980519999999999	59.3	255	0.647318				PRJEB9680	SAMEA2535359	ILLUMINA
ERR7801809	L4.13.2	872	1	19	62.9904	0.998904	58.9	255	0.655	Tanzania	2018-06-27		PRJEB49562	SAMEA11207234	ILLUMINA
ERR8773521	L4.13.2	878	39	25	112.165	0.988867	59.2	255	0.644846	Switzerland	2002-01-01		PRJEB50999	SAMEA13119672	ILLUMINA
ERR8773523	L4.13.2	874	39	31	104.603	0.988576	59.2	255	0.644454	Switzerland	2002-01-01		PRJEB50999	SAMEA13119672	ILLUMINA
ERR8773542	L4.13.2	826	2	18	79.6379	0.997466	59.2	255	0.647511	Switzerland	2004-01-01		PRJEB50999	SAMEA13119678	ILLUMINA
ERR8773857	L4.13.2	908	1	20	113.22	0.9993179999999999	58.8	255	0.66307	Georgia	not collected		PRJEB50999	SAMEA13119710	ILLUMINA
ERR8773963	L4.13.2	863	1	18	77.1037	0.998686	59.1	255	0.630163	Georgia	not collected		PRJEB50999	SAMEA13119733	ILLUMINA
ERR8775758	L4.13.2	771	7	1	80.5922	0.996799	58.8	255	0.655	Switzerland	2006-01-01		PRJEB50999	SAMEA13119658	ILLUMINA
ERR8958140	L4.13.2	769	7	1	80.5946	0.996777	58.8	255	0.655	Switzerland	2006-01-01		PRJEB50999	SAMEA13119658	ILLUMINA
SRR16088141	L4.13.2	896	1	19	151.81	0.998587	59.2	255	0.648576	Georgia: Tbilisi	2019	Homo sapiens	PRJNA766649	SAMN21856049	ILLUMINA
SRR16088242	L4.13.2	902	14	24	115.026	0.9962380000000001	59.1	255	0.650511	Georgia: Tbilisi	2019	Homo sapiens	PRJNA766649	SAMN21856035	ILLUMINA
SRR16088455	L4.13.2	894	1	23	139.42	0.998591	59.2	255	0.651116	Georgia: Tbilisi	2019	Homo sapiens	PRJNA766649	SAMN21856065	ILLUMINA
SRR16100228	L4.13.2	876	2	23	121.026	0.994816	59.4	255	0.653411	USA	2018	Homo sapiens	PRJNA766641	SAMN21882543	ILLUMINA
SRR16115019	L4.13.2	818	4	17	37.3633	0.991777	59.4	255	0.654582	USA	2019	Homo sapiens	PRJNA766641	SAMN21895619	ILLUMINA
SRR16149167	L4.13.2	887	5	22	189.975	0.997871	59	255	0.645026	Bulgaria: Sofia	2016	Homo sapiens	PRJNA765918	SAMN21593436	ILLUMINA
SRR18067127	L4.13.2	855	14	22	95.0753	0.988089	59.4	255	0.655	Spain: Zaragoza	2020-01-01	Homo sapiens	PRJNA808219	SAMN26037065	ION_TORRENT
SRR18714986	L4.13.2	867	5	21	137.858	0.998061	59.1	255	0.645452	Georgia:Tbilisi	2020	Homo sapiens	PRJNA825524	SAMN27520205	ILLUMINA
SRR19303962	L4.13.2	847	1	19	88.7976	0.9972719999999999	59.3	255	0.649451	Italy: Rome	2017-12-16	Homo sapiens	PRJNA834606	SAMN28538149	ILLUMINA
SRR19324806	L4.13.2	863	9	19	114.963	0.993336	59.5	255	0.656174	USA:Nassau County	2017-09-19	Homo sapiens	PRJNA835805	SAMN28553028	ILLUMINA
SRR2100564	L4.13.2	862	1	19	65.4748	0.99942	59	255	0.648926	missing	missing	missing	PRJNA282721	SAMN03647737	ILLUMINA
SRR21675839	L4.13.2	834	7	18	145.189	0.99316	59.4	255	0.655414	USA	2017	Homo sapiens	PRJNA766641	SAMN30962578	ILLUMINA
SRR21689570	L4.13.2	861	1	22	73.0417	0.99842	59	255	0.655	Netherlands	2019	Homo sapiens	PRJNA882748	SAMN30949004	ILLUMINA
SRR21689746	L4.13.2	859	2	20	75.8151	0.998307	59.1	255	0.655	Netherlands	2018	Homo sapiens	PRJNA882748	SAMN30949340	ILLUMINA
SRR21690144	L4.13.2	852	1	23	54.7742	0.998432	59	255	0.655	Netherlands	2019	Homo sapiens	PRJNA882748	SAMN30949039	ILLUMINA
SRR21690182	L4.13.2	864	1	21	67.129	0.998629	59.1	255	0.655	Netherlands	2019	Homo sapiens	PRJNA882748	SAMN30948889	ILLUMINA
SRR21690714	L4.13.2	851	2	19	61.0273	0.998206	59	255	0.655	Netherlands	2017	Homo sapiens	PRJNA882748	SAMN30950272	ILLUMINA
SRR21690784	L4.13.2	857	8	19	75.3059	0.995652	59	255	0.655	Netherlands	2017	Homo sapiens	PRJNA882748	SAMN30950094	ILLUMINA
SRR21732683	L4.13.2	890	16	23	163.634	0.99591	59.4	255	0.648486	Australia	2018-05-19	Homo sapiens	PRJNA857537	SAMN31030129	ILLUMINA
SRR24222969	L4.13.2	778	22	17	29.0008	0.984689	59.4	255	0.647286	Israel	2021-12-09	Homo sapiens	PRJNA957554	SAMN34257546	ILLUMINA
SRR28240124	L4.13.2	908	1	26	69.9485	0.99883	58.9	255	0.644598	Georgia: Tbilisi	2021	Homo sapiens	PRJNA1074779	SAMN40273491	ILLUMINA
SRR28860020	L4.13.2	902	1	23	111.25	0.9987189999999999	59.4	255	0.657899	USA:NY	2023	Homo sapiens	PRJNA766641	SAMN41148464	ILLUMINA
SRR29017048	L4.13.2	897	1	20	51.4327	0.9991639999999999	59.2	255	0.660509	Bangladesh	2007	Homo sapiens	PRJNA1109295	SAMN41389755	ILLUMINA
SRR29052739	L4.13.2	834	7	18	145.19	0.9931610000000001	59.4	255	0.655414	USA	2017	Homo sapiens	PRJNA1109295	SAMN41418380	ILLUMINA
SRR29055771	L4.13.2	863	9	20	114.964	0.993341	59.5	255	0.656174	USA	2017	Homo sapiens	PRJNA1109295	SAMN41421347	ILLUMINA
SRR29126634	L4.13.2	835	0	0						Italy	2020	Homo sapiens	PRJNA1113874	SAMN43935767	ILLUMINA
SRR29274230	L4.13.2	827	2	19	53.8104	0.995857	59.4	255	0.649509	Bulgaria	2019-07	Homo sapiens	PRJNA1119933	SAMN41665331	ILLUMINA
SRR29274248	L4.13.2	848	6	21	60.0815	0.99518	59.3	255	0.650972	Bulgaria	2017-01	Homo sapiens	PRJNA1119933	SAMN41665315	ILLUMINA
SRR29274280	L4.13.2	862	2	20	94.6176	0.99685	59.3	255	0.649082	Bulgaria	2017-12	Homo sapiens	PRJNA1119933	SAMN41665287	ILLUMINA
SRR29356798	L4.13.2	846	4	21	55.1878	0.996336	58.9	255	0.654719	Israel	2019	Homo sapiens	PRJNA1119380	SAMN41725817	ILLUMINA
SRR30679867	L4.13.2	865	2	19	81.7301	0.998211	59.4	255	0.656379	Australia	not applicable	Homo sapiens	PRJNA1161723	SAMN43783734	ILLUMINA
SRR33445613	L4.13.2	817	1	17	25.2962	0.997673	58.7	255	0.655997	Kosovo: Prishtina	2022	Homo sapiens	PRJNA1259372	SAMN48357637	ILLUMINA
SRR33445629	L4.13.2	814	1	18	27.766	0.9964839999999999	59	255	0.654174	Kosovo: Prishtina	2022	Homo sapiens	PRJNA1259372	SAMN48357623	ILLUMINA
SRR33445654	L4.13.2	847	2	22	85.6535	0.9973909999999999	59.3	255	0.650239	Kosovo: Prishtina	2022	Homo sapiens	PRJNA1259372	SAMN48357600	ILLUMINA
SRR33605180	L4.13.2	846	2	17	72.17	0.9969899999999999	59.3	255	0.647839	USA	2018	Homo sapiens	PRJNA1237251	SAMN48542511	ILLUMINA
SRR33657636	L4.13.2	846	2	22	70.6078	0.9969899999999999	59.3	255	0.647594	USA	2019	Homo sapiens	PRJNA1237251	SAMN48668680	ILLUMINA
SRR33713040	L4.13.2	829	16	26	72.7914	0.99465	59.3	255	0.647786	USA	2019	Homo sapiens	PRJNA1237251	SAMN48752015	ILLUMINA
SRR33792933	L4.13.2	818	6	19	50.6562	0.9937640000000001	59.3	255	0.647181	USA	2021	Homo sapiens	PRJNA1237251	SAMN48852767	ILLUMINA
SRR33818442	L4.13.2	847	4	24	77.5072	0.9967149999999999	59.3	255	0.647641	USA	2021	Homo sapiens	PRJNA1237251	SAMN48880262	ILLUMINA
SRR33842973	L4.13.2	838	0	0						USA	2021	Homo sapiens	PRJNA1237251	SAMN48915150	ILLUMINA
SRR33891348	L4.13.2	862	2	20	87.4493	0.9979089999999999	59.3	255	0.648104	USA	2021	Homo sapiens	PRJNA1237251	SAMN48931840	ILLUMINA
SRR33893499	L4.13.2	889	1	23	111	0.99905	59.1	255	0.653337	USA:missing	2025-04-08	Homo sapiens	PRJNA1080563	SAMN48968349	ILLUMINA
SRR33894822	L4.13.2	866	2	20	76.592	0.9977750000000001	59.3	255	0.649249	USA	2022	Homo sapiens	PRJNA1237251	SAMN48969695	ILLUMINA
SRR33912389	L4.13.2	840	16	23	85.8736	0.994731	59.3	255	0.64857	USA	2022	Homo sapiens	PRJNA1237251	SAMN48983193	ILLUMINA
SRR33953301	L4.13.2	892	2	21	70.4449	0.996704	59.3	255	0.647954	USA	2022	Homo sapiens	PRJNA1237251	SAMN49026062	ILLUMINA
SRR5486877	L4.13.2	886	1	16	164.525	0.9992	58.9	255	0.643591	Romania:Bucuresti	2015-11-09	Homo sapiens NCBI:9606	PRJNA384815	SAMN06849026	ILLUMINA
SRR7069574	L4.13.2	843	2	20	55.0014	0.994226	59.4	255	0.6503	United Kingdom	2016-03-02	Homo sapiens	PRJNA302362	SAMN09100325	ILLUMINA
SRR7341695	L4.13.2	850	2	18	118.553	0.998253	59.3	255	0.652138	Romania: Craiova	2015-09-28	Homo sapiens	PRJNA475771	SAMN09402692	ILLUMINA
SRR22251819	L4.4.2														
SRR15723013	L4.4.2														
SRR15316412	L4.4.2														
SRR15723083	L4.4.2														
SRR15315804	L4.4.2														
SRR14781935	L4.2.1														
ERR5864402	L4.2.1														
ERR234572	L4.2.1														
ERR10762358	L4.2.1														
ERR8773699	L4.2.1														
