strain_name,sub_lineage_dir,n_spdis,moi,Ates,Coll,Coll L1,Coscolla,Freschi,Gisch,Lipworth,Merker,Napier,Netikul,Palittapongarnpim,Shitikov,Shitikov23,Shuaib,Stucki,Thawornwattana,Zwyer
SRR18714986,L4.13.2,867,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR19303962,L4.13.2,847,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR19324806,L4.13.2,863,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR2100564,L4.13.2,862,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21675839,L4.13.2,834,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21689570,L4.13.2,861,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21689746,L4.13.2,859,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21690144,L4.13.2,852,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21690182,L4.13.2,864,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21690714,L4.13.2,851,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21690784,L4.13.2,857,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21732683,L4.13.2,890,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR24222969,L4.13.2,778,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR28240124,L4.13.2,908,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR28860020,L4.13.2,902,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR29017048,L4.13.2,897,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR29052739,L4.13.2,834,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR29055771,L4.13.2,863,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR29126634,L4.13.2,835,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR29274230,L4.13.2,827,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR29274248,L4.13.2,848,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR29274280,L4.13.2,862,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR29356798,L4.13.2,846,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR30679867,L4.13.2,865,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33445613,L4.13.2,817,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33445629,L4.13.2,814,4.13.2,,4.9,,,4.10.i2,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33445654,L4.13.2,847,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33605180,L4.13.2,846,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33657636,L4.13.2,846,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33713040,L4.13.2,829,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33792933,L4.13.2,818,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33818442,L4.13.2,847,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33842973,L4.13.2,838,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33891348,L4.13.2,862,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33893499,L4.13.2,889,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33894822,L4.13.2,866,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33912389,L4.13.2,840,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR33953301,L4.13.2,892,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR5486877,L4.13.2,886,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR7069574,L4.13.2,843,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR7341695,L4.13.2,850,4.13.2,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
